================= Elementos Regalos ===================

Colección de ebooks para Kindle/Tablets/Celulares
Listado completo (Colección completa. Para ver el listado de la colección de 3000 ebooks ir al final del archivo)
Fecha: 23/02/2017
Total: 28.000 titulos (Actualizamos todas las semanas)
Consultas: elementosregalos@gmail.com

=======================================================

autor	titulo
AA. VV.	Cuentos memorables según Jorge Luis Borges
AA. VV.	Los mejores relatos del `Sunday Times`
AA. VV.	Los mexicanos pintados por sí mismos
AA. VV.	Los hombres paradójicos
AA. VV.	Ciencia ficción. Selección 19
AA. VV.	Lenin reactivado
AA. VV.	Alemán - Unidad 16
AA. VV.	Asimov y sus amigos. En torno a Fundación
AA. VV.	Aloe vera (sábila): cultivo y utilización
AA. VV.	Los rivales de Sherlock Holmes
AA. VV.	The Sandman Book of Dreams
AA. VV.	Terra Nova Vol. 1
AA. VV.	Lo mejor de Fantasy y Science Fiction I
AA. VV.	El almirante flotante
AA. VV.	Luna de miel en el espacio
AA. VV.	Alemán - Unidad 11
AA. VV.	Platos sabrosos y con pocas calorías
AA. VV.	Alem
AA. VV.	Partes de guerra
AA. VV.	Felices pesadillas
AA. VV.	Nueva Dimensión 2
AA. VV.	Cuentos de otoño
AA. VV.	Ciencia ficción. Selección 27
AA. VV.	Comienza el viaje
AA. VV.	Los duplicadores
AA. VV.	Cuentos rusos
AA. VV.	Memoria de la Segunda República. Mito y Realidad
AA. VV.	Cosas
AA. VV.	Tu piel en mi boca
AA. VV.	Ciencia ficción. Selección 30
AA. VV.	Poesía de los Siglos de Oro
AA. VV.	Alemán - Unidad 12
AA. VV.	Antología del cuento extraño 1
AA. VV.	Alemán - Unidad 7
AA. VV.	Libro del Narrador
AA. VV.	J. R. R. Tolkien, Señor de la Tierra Media
AA. VV.	Historia virtual de España (1870-2004)
AA. VV.	Alemán - Unidad 23
AA. VV.	Ciencia ficción. Selección 8
AA. VV.	Premios Nebula 1985
AA. VV.	Alemán - Unidad 34
AA. VV.	Romancero y lírica tradicional
AA. VV.	Ciencia ficción. Selección 28
AA. VV.	Imperios Galácticos 1
AA. VV.	Prohibido a los nerviosos (recopilado por Alfred Hitchcock)
AA. VV.	Sangre azteca
AA. VV.	Furia azteca
AA. VV.	Pioneros del futuro
AA. VV.	Ciencia ficción. Selección 39
AA. VV.	Mundos perdidos
AA. VV.	Cuentos de terror
AA. VV.	Ciencia ficción. Selección 4
AA. VV.	Ciencia ficción. Selección 32
AA. VV.	Invasores de la tierra
AA. VV.	Curiosidades de la historia con El Ministerio del Tiempo
AA. VV.	Nueva Dimensi
AA. VV.	Vamps. Las chupadoras de sangre
AA. VV.	Tiempo por venir
AA. VV.	Nueva Dimensi
AA. VV.	Reinos de Tolkien. Imágenes de la Tierra Media
AA. VV.	Novelas de clan: Antolog
AA. VV.	Ciencia ficción. Selección 18
AA. VV.	Humor cósmico
AA. VV.	Visiones nocturnas
AA. VV.	Narraciones terroríficas - Vol. 1
AA. VV.	Maestros del horror de Arkham House
AA. VV.	Alem
AA. VV.	Ciencia ficción. Selección 23
AA. VV.	Cuentos de fútbol argentino
AA. VV.	El mercado contra la ciudad. Sobre globalizaci
AA. VV.	70 preguntas curiosas sobre el mundo que nos rodea y sus asombrosas respuestas
AA. VV.	Ciencia ficción. Selección 40
AA. VV.	Narraciones terroríficas - Vol. 8
AA. VV.	Nueva Dimensi
AA. VV.	Vampiros
AA. VV.	Borges at Eighty: Conversations
AA. VV.	Alemán - Unidad 18 - Evaluación I
AA. VV.	Alemán - Unidad 19
AA. VV.	Alemán - Unidad 31
AA. VV.	Ciencia ficción. Selección 9
AA. VV.	Alemán - Unidad 24
AA. VV.	Alemán - Unidad 13
AA. VV.	La idea de comunismo
AA. VV.	Jorge Luis Borges: The Last Interview and Other Conversations
AA. VV.	Bestiario de ciencia ficción
AA. VV.	Historias c
AA. VV.	Nueva Dimensión 6
AA. VV.	La Edad de Oro. 1939-1940
AA. VV.	Alemán - Unidad 1
AA. VV.	Cuentos únicos
AA. VV.	La Edad de Oro. 1941
AA. VV.	Cuentos de navidad
AA. VV.	Narraciones terroríficas - Vol. 7
AA. VV.	Quién es mi prójimo. Compasión, ética y política
AA. VV.	Fantasías
AA. VV.	El libro de Enoc
AA. VV.	Narraciones Terror
AA. VV.	Premio UPC 1992
AA. VV.	Tres piezas góticas
AA. VV.	Caperucita Roja
AA. VV.	Alemán - Unidad 21
AA. VV.	Cuentos de amor victorianos
AA. VV.	Pesadilla
AA. VV.	Narraciones terroríficas - Vol. 5
AA. VV.	Ciencia ficción. Selección 17
AA. VV.	Relatos apócrifos de la Saga de los Aznar
AA. VV.	Nueva Dimensión 3
AA. VV.	Nocturnabilia: Relatos de Stonewall 2012
AA. VV.	Ciencia ficción. Selección 6
AA. VV.	Escalofríos
AA. VV.	Alemán - Unidad 32
AA. VV.	Tales of the Slayer, Vol. 1
AA. VV.	Engineering Infinity
AA. VV.	Alemán - Unidad 15
AA. VV.	Relatos de vampiros
AA. VV.	Edge Of Infinity
AA. VV.	Reach for Infinity
AA. VV.	Terra Nova Vol. 2
AA. VV.	Spanish Neocon
AA. VV.	Feminismos negros: una antolog
AA. VV.	Ciencia ficción. Selección 12
AA. VV.	La mejor ciencia ficción
AA. VV.	Los relatos más bellos del mundo
AA. VV.	Ciencia ficción. Selección 13
AA. VV.	Un siglo de cuentos rusos
AA. VV.	Ciencia ficción. Selección 10
AA. VV.	Los dragones de Caos
AA. VV.	Amor al primer mordisco
AA. VV.	Los dragones en guerra
AA. VV.	Horror 3
AA. VV.	Cae la noche
AA. VV.	Historia de la guerra
AA. VV.	Ciencia ficción. Selección 24
AA. VV.	Horror 5
AA. VV.	Horror 6
AA. VV.	Sanguinarius, 13 historias de vampiros
AA. VV.	Horror 7
AA. VV.	Trece para el diablo
AA. VV.	Malignos y macabros
AA. VV.	Alemán - Unidad 9
AA. VV.	El Zar Salt
AA. VV.	Ciencia ficción. Selección 34
AA. VV.	Alemán - Unidad 2
AA. VV.	Premios Nebula 1986
AA. VV.	40 años con Franco
AA. VV.	Los dominios del dragón
AA. VV.	El buldozer asesino
AA. VV.	Alemán - Unidad 17
AA. VV.	Vocabulario Francés
AA. VV.	Dinamita cerebral
AA. VV.	Los casos nunca contados por el Dr. Watson
AA. VV.	Cuentos para leer los sábados
AA. VV.	400 pequeñas dosis de ciencia
AA. VV.	Barcelona negra
AA. VV.	Violencia roja y azul
AA. VV.	Fractures - Extraordinary Tales from the Halo Canon
AA. VV.	Superficción 100. Volumen conmemorativo.
AA. VV.	La huella de los dioses
AA. VV.	Ciencia ficción. Selección 25 (Extra)
AA. VV.	La destrucción del estado
AA. VV.	Ciencia ficción. Selección 1
AA. VV.	Rogues
AA. VV.	¿Por qué no debemos pagar la deuda?
AA. VV.	Leyendas
AA. VV.	Mundo futuro
AA. VV.	Alemán - Unidad 25
AA. VV.	Retorno a la Tierra
AA. VV.	Mañana todavía
AA. VV.	Cartas de la Wehrmacht
AA. VV.	Los Furbantes 1
AA. VV.	Axxón 2013
AA. VV.	Así vivían los romanos
AA. VV.	Nave-cuna
AA. VV.	La danza del corazón
AA. VV.	El cinturón de Venus
AA. VV.	La más bella historia del mundo
AA. VV.	Antología Española de Ciencia Ficción
AA. VV.	Cuentos argentinos
AA. VV.	3 del más allá
AA. VV.	Proceso al azar
AA. VV.	Nueva Dimensión 147
AA. VV.	Los dragones de Krynn
AA. VV.	Ciencia ficción. Selección 11
AA. VV.	Cuentos breves y extraordinarios
AA. VV.	Alemán - Unidad 22
AA. VV.	Cuentos de detectives victorianos
AA. VV.	Exaltado
AA. VV.	Sombras sobre Baker Street
AA. VV.	Fuera de mi firmamento
AA. VV.	Alemán - Unidad 33
AA. VV.	Los mejores cuentos de terror
AA. VV.	El camino de la magia
AA. VV.	Alemán - Unidad 8
AA. VV.	Narraciones terroríficas - Vol. 4
AA. VV.	El festín de las máscaras
AA. VV.	Cuentos de sombras
Aaron Allston	Proscrit
Aaron Allston	Tras las líneas enemigas II - Resistencia rebelde
Aaron Allston	Revers
Aaron Allston	Jugement
Aaron Allston	Tras las líneas enemigas I - Sueño rebelde
Aaron Copland	Cómo escuchar la música
Aaron Dembski-Bowden	El primer hereje
Aaron Dembski-Bowden	Helsreach
Aaron Dembski-Bowden	Cazador de almas
Aaron Dembski-Bowden	Cosechador de sangre
Aaron Dembski-Bowden	Acechante del vacío
Aaron Dembski-Bowden	La era de la oscuridad
Aaron Rosenberg	Mareas tenebrosas
Aaron Rosenberg	Más allá del portal oscuro
Abasse Ndione	Ramata
Abate De Choisy	Memorias
Abate Pr	Historia del Caballero Des Grieux y de Manon Lescaut
Abate Prévost	Manon Lescaut
Abbi Glines	El chico malo
Abbi Glines	Si fueras mío
Abby Hanlon	Dory Fantasmagory
Abdennur Prado	El islam como anarquismo místico
Abel Arana	Crónicas de un soltero
Abel Caballero	La elipse templaria
Abel Pohulanik	La cinta de Escher
Abelardo Arias	Álamos talados
Abelardo Arias	Polvo y espanto
Abelardo Arias	Minotauroamor
Abelardo Arias	La vara de fuego
Abelardo Arias	El gran cobarde
Abelardo Arias	L
Abelardo Arias	La vi
Abelardo Castillo	Cuentos Completos
Abelardo Castillo	El evangelio según Van Hutten
Abelardo Castillo	Crónica de un iniciado
Abigail Gibbs	Que nunca amanezca
Abraham B. Yehoshúa	Una mujer en Jerusalén
Abraham B. Yehoshúa	Divorcio tardío
Abraham Merritt	¡Arde, bruja, arde!
Abraham Merritt	¡Arrástrate, sombra, arrástrate!
Abraham Merritt	La nave de Ishtar
Abraham Merritt	The Metal Monster
Abraham Merritt	El estanque de la Luna
Abraham Valdelomar	Obra poética completa
Abraham Valdelomar	La mariscala
Abraham Valdelomar	Cuentos completos
Abraham Valdelomar	La ciudad muerta
Abraham Valdelomar	La ciudad de los tísicos
Abraham Verghese	Hijos del ancho mundo
Ada Castells Ferrer	Pura sang
Ada Colau	Vidas hipotecadas
Ada Coretti	La sombra enlutada
Ada Coretti	Horror en el cuarto oscuro
Ada Coretti	Noche de espanto
Ada Coretti	Del suelo brotaba la Muerte
Ada Coretti	Los muertos gritan de espanto
Ada Coretti	El hombre de las dos cabezas
Ada Coretti	El tesoro diabólico
Ada Coretti	Más horrible cada vez
Ada Coretti	La muerte tiene ocho brazos
Ada Coretti	El castillo de los jorobados
Ada Coretti	¿Surgió la Muerte del ataúd?
Ada Coretti	Cuando la sangre ahoga
Ada Coretti	La Muerte afila sus dientes
Ada Coretti	En el umbral del Averno
Ada Coretti	El Infierno les tragó
Adalbert G. Hamman	La vida cotidiana en África del norte en tiempos de San Agustín
Adalbert Stifter	Piedras de colores
Adalbert Stifter	Abd
Adalbert Stifter	El solter
Adalbert Stifter	Verano tard
Adalbert Stifter	Brigitta
Adalbert Stifter	El sendero en el bosque
Adam Baker	Solos
Adam Christopher	The Burning Dark
Adam Copeland	On Edge
Adam Fawer	El teorema
Adam Johnson	El huérfano
Adam Kuper	El primate elegido
Adam Nevill	El fin de los días
Adam Nevill	Apartamento 16
Adam Nevill	El ritual
Adam Smith	La teoría de los sentimientos morales
Adam Smith	La riqueza de las naciones
Adam Smith	La mano invisible
Adam Soboczynski	El arte de no decir la verdad
Adam Soboczynski	El libro de los vicios
Adam Surray	Las discípulas de Satán
Adam Surray	Ven a morir conmigo
Adam Surray	Tratamiento de terror
Adam Tooze	El diluvio
Adamari López	Viviendo
Adela Cortina Orts	Por una ética del consumo
Adela Cortina Orts	Consumo… luego existo
Adela Garrido	Cocina práctica
Adela Muñoz Páez	Historia del veneno
Adelaida Garc	La l
Adelaida Garc	El silencio de las sirenas
Adelaida García Morales	El Sur / Bene
Adelbert von Chamisso	La maravillosa historia de Peter Schlemihl
Adelbert von Chamisso	La maravillosa historia de Peter Schlemihl (trad. Michael-Valdés)
Adele Faber	Cómo hablar para que los niños escuchen y cómo escuchar para que los niños hablen
Adi Alsaid	Aquello que creíamos perdido
Adi Rule	Strange Sweet Song
Adolf Hitler	Mi lucha
Adolf J. Fort	Las cuatro damas
Adolf Muschg	Desnudarse era lo que ella no quería
Adolf Schulten	Tartessos
Adolfo Bioy Casares	El sueño de los héroes
Adolfo Bioy Casares	Plan de evasión
Adolfo Bioy Casares	Un campeon desparejo
Adolfo Bioy Casares	Diario de la guerra del cerdo
Adolfo Bioy Casares	La invención de Morel
Adolfo Bioy Casares	Una muñeca rusa
Adolfo Bioy Casares	El lado de la sombra
Adolfo Bioy Casares	Los que aman, odian
Adolfo Bioy Casares	Nuevos cuentos de Bustos Domecq
Adolfo Bioy Casares	De un mundo a otro
Adolfo Bioy Casares	Historia prodigiosa
Adolfo Bioy Casares	La aventura de un fotógrafo en La Plata
Adolfo Bioy Casares	Dormir al sol
Adolfo Bioy Casares	Descanso de caminantes
Adolfo Bioy Casares	Historias desaforadas
Adolfo Cueto	Diverso.es
Adolfo Losada García	El Símbolo
Adolfo Losada García	La llave de la Atlántida
Adrian Desmond	Los dinosaurios de sangre caliente
Adrián Fares	El nombre del pueblo
Adrián Fares	Elortis
Adrian Frutiger	El libro de la tipografía
Adrian Goldsworthy	Augusto
Adrian Goldsworthy	La caída del Imperio Romano
Adrian Goldsworthy	Antonio y Cleopatra
Adrian Goldsworthy	Soldados de honor
Adrian McKinty	Oigo sirenas en la calle
Adrian McKinty	Cold cold ground
Adrián Paenza	Matemática... ¿estás ahí?
Adrian Ross	El agujero del Infierno
Adrian Tchaikovsky	Empire in Black and Gold
Adrian Tchaikovsky	Children of Time
Adriana Abenia	Lo que moja la lluvia
Adriana Rubens	Detrás de la máscara
Agatha Christie	Asesinato en la calle Hickory
Agatha Christie	Los Relojes
Agatha Christie	La tercera muchacha
Agatha Christie	Los elefantes pueden recordar
Agatha Christie	El misterioso caso de Styles
Agatha Christie	Se anuncia un asesinato
Agatha Christie	Misterio en el Caribe
Agatha Christie	Muerte en la vicaría
Agatha Christie	El asesinato de Rogelio Ackroyd
Agatha Christie	Srta. Marple y trece problemas
Agatha Christie	Hacia cero
Agatha Christie	Un cadáver en la biblioteca
Agatha Christie	El caso de los anónimos
Agatha Christie	El truco de los espejos
Agatha Christie	Un puñado de centeno
Agatha Christie	El tren de las 4.50
Agatha Christie	El espejo se rajó de parte a parte
Agatha Christie	En el hotel Bertram
Agatha Christie	Némesis
Agatha Christie	Un crimen dormido
Agatha Christie	Diez negritos (Ilustrado)
Agatha Christie	Poirot investiga
Agatha Christie	Asesinato en Mesopotamia
Agatha Christie	Intriga en Bagdad
Agatha Christie	El misterio de Sans-Souci
Agatha Christie	El misterioso señor Brown
Agatha Christie	Matrimonio de sabuesos
Agatha Christie	Ven y dime cómo vives
Agatha Christie	Matar es fácil
Agatha Christie	Inocencia trágica
Agatha Christie	Testigo de cargo
Agatha Christie	El misterio del Tren Azul
Agatha Christie	La muerte de Lord Edgware
Agatha Christie	Telón
Agatha Christie	Miss Marple: The Complete Short Stories
Agatha Christie	Los cuatro grandes
Agatha Christie	Diez negritos
Agatha Christie	Sangre en la piscina
Agatha Christie	El misterio de Listerdale
Agatha Christie	El misterio de la guía de ferrocarriles
Agatha Christie	La puerta del destino
Agatha Christie	Asesinato en el Orient Express
Agatha Christie	Café solo
Agatha Christie	Una visita inesperada (novelización)
Agatha Christie	And Then There Were None
Agatha Christie	Peligro inminente
Agatha Christie	Asesinato en el campo de golf
Agatha Christie	El hombre del traje color castaño
Agatha Christie	La telaraña
Agatha Christie	Cartas sobre la mesa
Agatha Christie	Autobiografía
Agatha Christie	La ratonera
Agatha Christie	El misterio de Sittaford
Agatha Christie	Problema en Pollensa
Agatha Christie	Un dios solitario y otros relatos
Agatha Christie	Trayectoria de Boomerang
Agatha Christie	El testigo mudo
Agatha Christie	Deu negrets
Agatha Christie	L’assassinat de Roger Ackroyd
Agatha Christie	El secreto de Chimneys
Agatha Christie	La muerte visita al dentista
Agatha Christie	Maldad bajo el sol
Agatha Christie	Assassinat a l’Orient Express
Agatha Christie	Poirot infringe la ley
Agatha Christie	Los trabajos de Hércules
Agatha Christie	Una visita inesperada
Agatha Christie	La señora McGinty ha muerto
Agatha Christie	Destino desconocido
Agatha Christie	El templete de Nasse House
Agatha Christie	El pudding de Navidad
Agatha Christie	Tres ratones ciegos
Agatha Christie	El enigmático Mr. Quin
Agatha Christie	Parker Pyne investiga
Agatha Christie	Las manzanas
Agatha Christie	Muerte en las nubes
Agatha Christie	Cianuro espumoso
Agatha Christie	Un gato en el palomar
Agatha Christie	Poirot en Egipto
Agatha Christie	La venganza de Nofret
Agatha Christie	La casa torcida
Agatha Christie	Un triste ciprés
Agatha Christie	El misterio de las siete esferas
Agatha Christie	Noche eterna
